date,symbol,open,high,low,close,Volume BTC,Volume USD
09/10/2017,BTC/USD,4597.98,4865,4541,4764.7,60364606.58,12900.31
08/10/2017,BTC/USD,4423.3,4612,4404.5,4597.98,45437977.1,10072.26
07/10/2017,BTC/USD,4362.95,4463,4312.82,4423.3,20225980.37,4624.88
06/10/2017,BTC/USD,4301.09,4425,4278.4,4362.95,36536990.19,8373.72
05/10/2017,BTC/USD,4219.53,4358.97,4137.96,4301.09,35843264.32,8403.54
04/10/2017,BTC/USD,4315.83,4343,4170.07,4219.53,35967135.01,8495.27
03/10/2017,BTC/USD,4391.48,4425,4218,4315.83,53430721.04,12439.78
02/10/2017,BTC/USD,4377.22,4453,4352,4391.48,36284325.23,8257.67
01/10/2017,BTC/USD,4326.09,4377.22,4216,4377.22,30767188.12,7186.75
30/09/2017,BTC/USD,4164.82,4349,4154.28,4326.09,32022657.82,7484.86
29/09/2017,BTC/USD,4184.84,4227.62,4022.02,4164.82,50174093.2,12152.44
28/09/2017,BTC/USD,4199.29,4270.01,4123.5,4184.84,40228821.54,9606.78
27/09/2017,BTC/USD,3888.03,4226.73,3870,4199.29,61138922.31,15047.14
26/09/2017,BTC/USD,3918,3970,3850.61,3888.03,39095846.8,9982.65
25/09/2017,BTC/USD,3664.22,3968.59,3658.39,3918,57436091.87,14928.61
24/09/2017,BTC/USD,3779.17,3783.25,3615,3664.22,24002945.44,6506.91
23/09/2017,BTC/USD,3612.18,3810.25,3552,3779.17,37543313.88,10105.29
22/09/2017,BTC/USD,3617.05,3761.84,3514,3612.18,54095681.79,14959.45
21/09/2017,BTC/USD,3874.46,3914,3573,3617.05,66991792.86,17898.73
20/09/2017,BTC/USD,3888.8,4050,3820.56,3874.46,45755993.66,11636.97
19/09/2017,BTC/USD,4101.6,4119.7,3848.35,3888.8,60296939.36,15251.89
18/09/2017,BTC/USD,3662.99,4122.7,3659.42,4101.6,67884703.07,17181.29
17/09/2017,BTC/USD,3678.93,3772.52,3463,3662.99,42610629.87,11757.1
16/09/2017,BTC/USD,3700.01,3872.9,3500,3678.93,84682175.88,23098.16
15/09/2017,BTC/USD,3227.79,3820,2977,3700.01,201603301.3,59782.68
14/09/2017,BTC/USD,3865.34,3921.74,3210,3227.79,145677912.4,41197.76
13/09/2017,BTC/USD,4172.56,4179.14,3720.01,3865.34,115047415.4,29518.25
12/09/2017,BTC/USD,4207.31,4377.65,4080,4172.56,56085500.46,13251.77
11/09/2017,BTC/USD,4226.22,4353.49,4092.4,4207.31,46993960.17,11154.82
10/09/2017,BTC/USD,4308.72,4322.44,4010,4226.22,61000822.58,14714.59
09/09/2017,BTC/USD,4312,4379.78,4164,4308.72,42672278.95,9970.37
08/09/2017,BTC/USD,4615,4679.97,4125.99,4312,103400550.3,23654.99
07/09/2017,BTC/USD,4605.8,4674.34,4475,4615,42404174.64,9248.08
06/09/2017,BTC/USD,4396.52,4649.23,4356.42,4605.8,75215090.16,16613.84
05/09/2017,BTC/USD,4277,4474.88,4001.93,4396.52,88387794.12,20870.95
04/09/2017,BTC/USD,4606.26,4613.97,4058.5,4277,107556542.1,25014.15
03/09/2017,BTC/USD,4599.9,4700,4385,4606.26,51073979.31,11216.38
02/09/2017,BTC/USD,4921.7,4979.9,4488.5,4599.9,79450494.42,16968.78
01/09/2017,BTC/USD,4734.26,4935,4671.09,4921.7,73806190.52,15349.9
31/08/2017,BTC/USD,4573.2,4765.21,4566.66,4734.26,41680053.91,8901.59
30/08/2017,BTC/USD,4578.82,4642.22,4479,4573.2,39221767.23,8593.36
